ID,NAME,MEETING_TIME,DESCRIPTION,ADDRESS,LOCATION_INSTRUCTION,EMAIL,WEBSITE,PHONE,SHOW_MEETINGS_WITH,GROUP_ID
126,Decorah Monday Night AFG,Monday 6:00 PM,Good Shepherd Lutheran Church,"701 Iowa Ave, Decorah, IA, 52101, USA",Step meeting,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Monday; Beginners; Handicap Access; ",40756
127,Decorah Monday Night AFG,Monday 6:30 PM,Good Shepherd Lutheran Church,"701 Iowa Ave, Decorah, IA, 52101, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Monday; ",40756
128,Stepping Stones AFG,Tuesday 7:00 PM,ST JOHNS LUTHERAN CHURCH,"203 PEARL ST, GUTTENBERG, IA, 52052, USA",,,,,Al-Anon; Families and Friends Only; English; Tuesday; Handicap Access; ,4694
129,Storm Lake Saturday Nite AFG,Saturday 8:00 PM,St John's Lutheran Church,"402 Lake Ave, Storm Lake, IA, 50588, USA",,,,,Al-Anon; Families and Friends Only; English; Saturday; Handicap Access; ,4845
130,Drop the Rope AFG,Sunday 3:00 PM,Heartland Livestock Office,"1995 Ironwood Ave., Red Oak, IA, 51566, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Sunday; ",30716531
131,Maquoketa AFG,Wednesday 8:00 PM,United Church of Christ,"206 E Platt St, Maquoketa, IA, 52060, USA","enter in back of church, go down the stairs and through the first door on the right",,,,Al-Anon; Families and Friends Only; English; Wednesday; ,4743
132,Serenity AFG,Tuesday 12:00 PM,Messiah Lutheran Church,"2411 West Ave, Burlington, IA, 52601, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Tuesday; Handicap Access; ",30614536
133,West Avenue Alateen,Sunday 7:00 PM,Messiah Lutheran Church,"2411 West Avenue, Burlington, IA, 52601, USA","Teenagers; for details call 888-425-2666. Enter west door of church, proceed east in the hallway past the office and lobby area to stairway. Meeting place is in the room at the top of the ea",,,,Alateen; English; Sunday; ,30705959
134,Waukon Alonettes AFG,Wednesday 8:30 PM,Waukon Alano Club,"605 1st Ave NW, Waukon, IA, 52172, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Wednesday; Beginners; ",4862
135,Caring And Sharing AFG,Thursday 7:00 PM,New Hope Community Church,"2900 Summer St, Burlington, IA, 52601, USA",,,,,Al-Anon; Families and Friends Only; English; Thursday; ,23986
136,Monday Morning AFG,Monday 9:00 AM,Grand View Methodist Church,"3342 John Wesley Dr, Dubuque, IA, 52002, USA",,,,,Al-Anon; Families and Friends Only; English; Monday; Handicap Access; ,24012
137,Julien AFG,Tuesday 7:00 PM,Intergroup,"1670 Asbury Rd, Dubuque, IA, 52001, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Tuesday; Handicap Access; ",4654
138,Westside AFG,Wednesday 7:00 PM,Westside Club,"1646 Asbury Rd, Dubuque, IA, 52001, USA",,,,,Al-Anon; Families and Friends Only; English; Wednesday; ,4659
139,Thursday Noon Rush AFG,Thursday 12:00 PM,St Columbkilles Catholic Church,"1198 Rush St, Dubuque, IA, 52003, USA",Fogarty hall,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Thursday; Handicap Access; ",503596
140,Missing Link AFG,Sunday 7:00 PM,Mercy Medical Center,"250 Mercy Dr, Dubuque, IA, 52001, USA",Rooms a&b,,,,Al-Anon; Families and Friends Only; English; Sunday; Handicap Access; Child Care; ,4655
141,Saturday Morning AFG,Saturday 9:00 AM,Mercy Health Center,"250 Mercy Drive, Dubuque, IA, 52001, USA",,,,,Al-Anon; Families and Friends Only; English; Saturday; Handicap Access; ,40588
142,Thursday Night AFG,Thursday 7:00 PM,Mercy Medical Center,"250 Mercy Dr, Dubuque, IA, 52001, USA",Room 1a,,,,Al-Anon; Families and Friends Only; English; Thursday; Beginners; Handicap Access; ,501020
143,Central Community AFG,Monday 7:00 PM,DEKE BUILDING,"818 6TH AVE, De Witt, IA, 52742, USA",Across from Dewitt bank and trust in the basement,,,,Al-Anon; Families and Friends Only; English; Monday; ,4653
144,Central Discussion AFG,Wednesday 10:00 AM,,"1706 Brady St, Davenport, IA, 52803, USA","“Physical Location Note:""Suite 105 ""Temporary electronic meeting available during COVID-19 pandemic:""Join Zoom Meeting https://us02web.zoom.us/j/8220078479 If you get asked for a meeting ID, it is 822 007 8479 If you want to call in via phone, call the phone number below: One tap mobile 312-626-6799",,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Wednesday; Handicap Access; ",4617
145,Central Discussion AFG,Friday 5:00 PM,,"1706 Brady St, Davenport, IA, 52803, USA",Suite 105,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Friday; Handicap Access; ",4617
146,Central Discussion AFG,Saturday 11:00 AM,,"1706 Brady St, Davenport, IA, 52803, USA",Suite 105,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Saturday; Handicap Access; ",4617
147,Central Discussion AFG,Wednesday 7:00 PM,,"1706 Brady St, Davenport, IA, 52803, USA",Suite 105,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Wednesday; Handicap Access; ",4617
148,Cal Book Study AFG,Tuesday 6:30 PM,Edwards Congregational Church,"3420 Jersey Ridge Rd, Davenport, IA, 52807, USA","Off Kimberly Rd. turn south onto Jersye Ridge, church on right, use back entrance",,,,Al-Anon; Families and Friends Only; English; Tuesday; Handicap Access; ,30611827
149,Steps To Serenity AFG,Thursday 6:30 PM,Edwards Congregational Church,"3420 Jersey Ridge Rd, Davenport, IA, 52807, USA",,,,,Al-Anon; Families and Friends Only; English; Thursday; ,30508840
150,Cal R Us AFG,Tuesday 7:00 PM,SPENCER ALANO CLUB,"511 SOUTHMOOR DR, SPENCER, IA, 51301, USA",,,,,Al-Anon; Families and Friends Only; English; Tuesday; ,4801
151,Spencer Wednesday Night AFG,Wednesday 8:00 PM,SPENCER ALANO CLUB,"511 SOUTHMOOR DR, SPENCER, IA, 51301, USA",,,,,Al-Anon; Families and Friends Only; English; Wednesday; Handicap Access; ,4839
152,Bettendorf AFG,Monday 7:30 PM,Bettendorf Civic Center,"2204 Grant St, Bettendorf, IA, 52722, USA",,,,,Al-Anon; Families and Friends Only; English; Monday; ,4547
153,Royal AFG,Thursday 8:00 PM,Bethlehem Lutheran Church,"207 Church St, Royal, IA, 51357, USA",,,,,Al-Anon; Families and Friends Only; English; Thursday; ,45429
154,Cherokee AFG,Monday 8:00 PM,St paul methodist church,"531 W Main St, Cherokee, IA, 51012, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Monday; ",4590
155,Saturday Serenity Seekers AFG,Saturday 7:00 PM,St. Ann's Catholic Church,"112 W 3rd St., Logan, IA, 51546, USA",Church basement. Go down sidewak to the outside entrance to the basement.,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Saturday; Handicap Access; ",30717958
156,New Hope AFG,Monday 8:00 PM,St Joseph Catholic Church,"1305 Okoboji Ave, Milford, IA, 51351, USA",,,,,Al-Anon; Families and Friends Only; English; Monday; Handicap Access; ,30595958
157,Better Way Of Life AFG,Monday 5:00 PM,Rand Community Senior Center Office,"100 S 4TH ST, MISSOURI VALLEY, IA, 51555, USA",,,,,Al-Anon; Families and Friends Only; English; Monday; Handicap Access; ,67074
158,Iowa Great Lakes Thursday Night AFG,Thursday 6:30 PM,Lakes Regional Hospital,"2301 Highway 71, Spirit Lake, IA, 51360, USA","Lower Level, East Okaboji Conference Room",,,,Al-Anon; Families and Friends Only; English; Thursday; Handicap Access; ,30712586
159,Building Blocks AFG,Monday 6:00 PM,Alegent Health Behavioral Services,"622 S 4th St, Council Bluffs, IA, 51503, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Monday; Handicap Access; ",30640088
160,Wednesday Nite Alive AFG,Wednesday 6:00 PM,Alegent Health Behavioral Services,"622 S 4th St, Council Bluffs, IA, 51503, USA",Peer Connection Rec Center,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Wednesday; ",65742
161,Sunday Morning AFG,Sunday 10:00 AM,500 Club,"410 S 16th St, Council Bluffs, IA, 51501, USA",Downstairs,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Sunday; ",4605
162,Thursday Morning AFG,Thursday 10:00 AM,500 Club,"410 S 16th St, Council Bluffs, IA, 51501, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Thursday; ",4606
163,Hope For Today Clinton AFG,Thursday 8:00 PM,New Directions/Asac Building,"250 20th Ave. N, Clinton, IA, 52732, USA","Enter through main triple doors, go left down hallway, meetin is in conference room",,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Thursday; Handicap Access; ",30715664
164,Freedom Seekers AFG,Friday 7:30 PM,Broadway Christian Church,"2658 Ave. A, Council Bluffs, IA, 51501, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Friday; ",66457
165,Sunday Night Serenity Seekers AFG,Sunday 7:00 PM,Sanford Medical Center,"118 N 7th Ave, Sheldon, IA, 51201, USA",Conference room c. basement of hospital,,,,Al-Anon; Families and Friends Only; English; Sunday; ,30568346
166,Saturday Of Serenity AFG,Saturday 9:00 AM,Alton Reformed Church,"305 8th St, Alton, IA, 51003, USA",Enter on north side of building. right side of hall basement,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Saturday; ",30610126
167,Step AFG,Wednesday 8:00 PM,Floyd Valley Hospital,"714 Lincoln St NE, Le Mars, IA, 51031, USA",,,,,Al-Anon; Families and Friends Only; English; Wednesday; ,4733
168,Sergeant Bluff Monday Night AFG,Monday 7:30 PM,Community United Methodist Church,"101 Baker Rd, SERGEANT BLUFF, IA, 51054, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Monday; Handicap Access; ",34723
169,Glenn Avenue AFG,Monday 7:30 PM,St Marks Lutheran Church,"5200 Glenn Ave, Sioux City, IA, 51106, USA",,,,,Al-Anon; Families and Friends Only; English; Monday; ,31404
170,Acceptance AFG,Friday 8:00 PM,Faith United Church,"4327 Morningside Ave, Sioux City, IA, 51106, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Friday; Handicap Access; ",4829
171,Women's AFG Book Study,Friday 10:00 AM,Leeds Alano Club,"4034 Floyd Blvd., Sioux City, IA, 51104, USA",,,,,Al-Anon; Families and Friends Only; English; Friday; Women; Handicap Access; ,30709961
172,Wednesday Midweek Relief AFG,Wednesday 1:30 PM,Leeds Alano Club,"4034 Floyd Blvd, Sioux City, IA, 51108, USA",,,,,Al-Anon; Families and Friends Only; English; Wednesday; Handicap Access; ,25196
173,AFG Newcomers Women's Group,Wednesday 7:00 PM,Wesley United Methodist Church,"3700 Indian Hills Dr, Sioux City, IA, 51104, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Wednesday; Beginners; Women; Handicap Access; ",30598338
174,Cal's Comfort Zone AFG,Thursday 7:30 PM,Wesley United Methodist Church,"3700 Indian Hills Dr, Sioux City, IA, 51104, USA",,,,,Al-Anon; Families and Friends Only; English; Thursday; Handicap Access; ,502065
175,Young Person's Alateen,Wednesday 7:00 PM,Wesley United Methodist Church,"3700 Indian Hills Dr, Sioux City, IA, 51104, USA",Teenagers; for details call 888-425-2666.,,,,Alateen; English; Wednesday; ,65273
176,Al-Anon Information Center-Literature Depot,,Includes Literature Distribution Center services.,"2801 Jackson St, Sioux City, IA, 51104, USA",,afg.aiclit@yahoo.com,www.al-anonsiouxcity.org,(712) 255-6724,Al-Anon; Alateen; English; Español; Français; Other Languages; ,
177,Sioux Center Thurday AFG,Thursday 8:00 PM,New Life Church,"232 16th St SE, Sioux Center, IA, 51250, USA",,,,,"Al-Anon; Families, Friends, and Observers Welcome; English; Thursday; ",30654270
