Name,Address,City,State,Zip,Type,Phone,ObjectId,x,y,Dataset,Classification
Thrifty White - Spencer,715 South Grant Ave,Spencer,IA,51301,Pharmacy,712-262-1523,211,-10591387.36,5331978.955,Drug Drop Off Sites,Drug Drop Off Sites
Mercy Westside Pharmacy,910 N Eisenhower Ave,Mason City,IA,50401,Pharmacy,641-428-5630,212,-10381721.35,5335720.805,Drug Drop Off Sites,Drug Drop Off Sites
Osterhaus Pharmacy,918 W Platt #2,Maquoketa,IA,52060,Pharmacy,563-652-5611,213,-10094239.32,5171322.639,Drug Drop Off Sites,Drug Drop Off Sites
Iowa City Police Department,410 East Washington Street,Iowa City,IA,52240,Law Enforcement,319-356-5275,215,-10188962.01,5110195.472,Drug Drop Off Sites,Drug Drop Off Sites
University of Iowa Hospital,CC106 General Hospital,Iowa City,IA,52242,Pharmacy,319-384-6800,216,-10190588.05,5109993.656,Drug Drop Off Sites,Drug Drop Off Sites
Thrifty White Pharmacy,702 Mongomery Street,Decorah,IA,52101,Pharmacy,563-382-8765,217,-10216190.1,5357446.906,Drug Drop Off Sites,Drug Drop Off Sites
Lime Springs Medical Clinic,101 West Main Street,Lime Springs,IA,52155,Pharmacy,563-566-2243,218,-10272641.15,5380533.664,Drug Drop Off Sites,Drug Drop Off Sites
Walgreens,2214 Muscatine Ave,Iowa City,IA,52240,Pharmacy,319-3542670,219,-10186034.23,5108629.447,Drug Drop Off Sites,Drug Drop Off Sites
Wallgreens,4415 Douglas Ave,Des Moines,IA,50310,Pharmacy,515-279-4739,220,-10428278.67,5105644.255,Drug Drop Off Sites,Drug Drop Off Sites
Wallgreens,2545 E Euclid Ave,Des Moines,IA,50317,Pharmacy,515-266-3174,221,-10416017.82,5105375.135,Drug Drop Off Sites,Drug Drop Off Sites
Wallgreens,104 E Euclid Ave,Des Moines,IA,50313,Pharmacy,515-243-0601,222,-10421416.87,5105375.731,Drug Drop Off Sites,Drug Drop Off Sites
Walgreens,111 W Ridgeway Ave,Waterloo,IA,50701,Pharmacy,319-433-0490,223,-10281187.92,5231551.608,Drug Drop Off Sites,Drug Drop Off Sites
Thrifty White Pharmacy,848 Second Street,Webster City,IA,50595,Pharmacy,515-832-4137,224,-10444549.25,5231557.341,Drug Drop Off Sites,Drug Drop Off Sites
Thrifty White Pharmacy,1907 US Hwy 18 E,Clear Lake ,IA,50428,Pharmacy,641-357-5271,225,-10393398.84,5334011.918,Drug Drop Off Sites,Drug Drop Off Sites
Thrifty White Pharmacy,210 N Main Street,Clarion,IA,50525,Pharmacy,515-532-6626,226,-10434289.95,5271419.41,Drug Drop Off Sites,Drug Drop Off Sites
Thrifty White Pharmacy,127 Main Street,Paullina,IA,51046,Pharmacy,712-949-3490,227,-10651893.12,5308740.685,Drug Drop Off Sites,Drug Drop Off Sites
Thrifty White Pharmacy,701 W. Elm Ave,Pocahontas,IA,50574,Pharmacy,712-335-3119,228,-10539696.25,5271353.315,Drug Drop Off Sites,Drug Drop Off Sites
Thrifty White Pharmacy,1320 Broadway,Denison,IA,52101,Pharmacy,712-263-4646,229,-10614765.87,5163492.507,Drug Drop Off Sites,Drug Drop Off Sites
Booth Pharmacy,903 Central Avenue,Harwarden,IA,51023,Pharmacy,712-551-1616,231,-10740692.03,5311326.916,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,127 Locust St,Dubuque,IA,52001,Pharmacy,563-588-8702,232,-10092812.97,5235399.534,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,2255 John F Kennedy Road #16,Dubuque,IA,52002,Pharmacy,563-588-8703,233,-10098962.07,5237885.883,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,2225 Central Ave,Dubuque,IA,52001,Pharmacy,563-588-8704,234,-10093508.56,5238259.799,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,701 Morman Trek Blvd,Iowa City,IA,52246,Pharmacy,319-338-5778,235,-10193981.04,5108989.603,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,200 First Street,Independence,IA,50644,Pharmacy,319-334-7155,236,-10229479,5231457.592,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,810 12th Street,Belle Plaine,IA,52208,Pharmacy,319-444-2480,237,-10272121.95,5145460.942,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,419 First Street,Monticello,IA,52310,Pharmacy,319-465-4906,238,-10150620.98,5196719.807,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,200 Main Street,Guttenberg,IA,52052,Pharmacy,563-329-1471,239,-10141202.86,5279368.97,Drug Drop Off Sites,Drug Drop Off Sites
Trinity Pharmacy,802 Kenyon Road,Fort Dodge,IA,50501,Pharmacy,515-573-3101,240,-10485179.25,5235040.224,Drug Drop Off Sites,Drug Drop Off Sites
Sioux Center Health,1101 9th Street SE,Sioux Center,IA,51250,Pharmacy,515-573-3101,241,-10704105.33,5322573.721,Drug Drop Off Sites,Drug Drop Off Sites
Louis Family Drug,528 S 3rd Street,Moville,IA,51039,Pharmacy,712-873-3401,242,-10694562.03,5233563.432,Drug Drop Off Sites,Drug Drop Off Sites
Broadlawns Medical Center,1801 Hickman Road,Des Moines,IA,50314,Pharmacy,515-282-2200,243,-10424234.76,5103497.504,Drug Drop Off Sites,Drug Drop Off Sites
NuCara Pharmacy ,500 Second Street,Traer,IA,50675,Pharmacy,319-478-8711,244,-10293439.78,5189997.219,Drug Drop Off Sites,Drug Drop Off Sites
NuCara Pharmacy,303 Nicholas Drive,Marshalltown,IA,50158,Pharmacy,641-752-4115,245,-10343629.32,5163269.815,Drug Drop Off Sites,Drug Drop Off Sites
Lewis - Rock Rapids Pharmacy,106 N. Boone Street,Rock Rapids,IA,51246,Pharmacy,712-472-4044,247,-10705535.92,5377949.528,Drug Drop Off Sites,Drug Drop Off Sites
Hegg Memorial Health Ctr.,1200 21st Ave.,Rock Valley,IA,51247,Pharmacy,712-476-8100,249,-10718397.58,5342794.124,Drug Drop Off Sites,Drug Drop Off Sites
Medicap Pharmacy,1300 E. 14th Street,Des Moines,IA,50316,Pharmacy,515-2631782,251,-10419566.88,5101606.302,Drug Drop Off Sites,Drug Drop Off Sites
Buchanan County Sheriff's Office,210 5th Ave. NE,Independence,IA,50644,Law Enforcement,319-334-2568,254,-10229082.91,5231698.374,Drug Drop Off Sites,Drug Drop Off Sites
Parkersburg Police Department,506 Highway 57,Parkersburg,IA,50665,Law Enforcement,319-346-2422,256,-10329069.55,5246798.325,Drug Drop Off Sites,Drug Drop Off Sites
Pella Regional Health System,405 Monroe Street,Pella,IA,50219,Pharmacy,641-621-2444,257,-10342940.26,5073621.036,Drug Drop Off Sites,Drug Drop Off Sites
Community Pharmacy,13212 W. Main Street,Lake City,IA,51449,Pharmacy,712-464-7281,259,-10547214.75,5201096.538,Drug Drop Off Sites,Drug Drop Off Sites
Marion Police Department,6315 Highway 161,Marion,IA,52302,Law Enforcement,319-377-1511,260,-10196374.37,5165948.711,Drug Drop Off Sites,Drug Drop Off Sites
Avera Merrill Pioneer Hospital,1100 S. 10th Avenue,Rock Rapids,IA,51246,Pharmacy,712-472-5400,261,-10705915.35,5376329.483,Drug Drop Off Sites,Drug Drop Off Sites
Brower Pharmacy,140 W. 4th Street,Saint Ansgar,IA,50472,Pharmacy,641-713-4381,262,-10343766.99,5369770.869,Drug Drop Off Sites,Drug Drop Off Sites
Clayton Drug - Elkader,135 N. Main Street,Elkader,IA,52043,Pharmacy,563-245-2530,263,-10175164.83,5289946.998,Drug Drop Off Sites,Drug Drop Off Sites
Clayton Drug - Strawberry Point,104 West Mission St,Strawberry Point,IA,52076,Pharmacy,563-933-4762,264,-10189583.22,5263919.936,Drug Drop Off Sites,Drug Drop Off Sites
Clayton Drug - Sumner,100 East 1st St.,Sumner,IA,50674,Pharmacy,563-578-5142,265,-10252255.76,5288786.779,Drug Drop Off Sites,Drug Drop Off Sites
Drilling Morningside Pharmacy,4010 Morningside Pharmacy,Sioux City,IA,51106,Pharmacy,712-276-4621,267,-10726244.43,5231752.786,Drug Drop Off Sites,Drug Drop Off Sites
Genesis First Med Pharmacy,1227 E. Rusholme St.,Davenport,IA,52803,Pharmacy,563-421-6366,268,-10080750.31,5092739.554,Drug Drop Off Sites,Drug Drop Off Sites
Genoa Healthcare,720 Kenyon Rd,Fort Dodge,IA,50501,Pharmacy,515-206-2057,269,-10485266.55,5234857.915,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee (Drugtown) Drugstore,2001 Blairs Ferry Rd NE,Cedar Rapids,IA,52402,Pharmacy,319-393-0539,270,-10204537.44,5166189.016,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Drugstore,1706 S Center St,Marshalltown,IA,50158,Pharmacy,641-752-6711,272,-10342979.92,5165156.954,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Drugstore,875 4th St SW,Mason City,IA,50401,Pharmacy,641-424-4181,273,-10376545.05,5334568.352,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Drugstore,2790 7th Ave,Marion,IA,52302,Pharmacy,319-377-4821,274,-10194888.52,5165959.556,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Drugstore Pharmacy,510 E 6th St,Muscatine,IA,52761,Pharmacy,563-263-1852,276,-10134971.13,5075555.191,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Drugstore Pharmacy,4100 University Ave,Des Moines,IA,50311,Pharmacy,515-633-8603,277,-10427652.98,5101296.898,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Drugstore Pharmacy,310 North 1st Ave,Iowa City,IA,52245,Pharmacy,319-337-6424,278,-10185963.19,5111061.589,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Drugstore Pharmacy,1520 6th St SW,Cedar Rapids,IA,52404,Pharmacy,319-363-9606,279,-10205448.68,5155338.119,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,1215 141st St.,Perry,IA,50220,Pharmacy,515-465-3543,286,-10475681.69,5135583.82,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,2004 8th Street,Coralville,IA,52241,Pharmacy,319-351-3880,287,-10195969.38,5113505.911,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,2540 E Euclid Ave,Des Moines,IA,50317,Pharmacy,515-262-0640,288,-10416103.55,5105384.82,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,115 S 29th St,Fort Dodge,IA,50501,Pharmacy,515-576-5320,289,-10481644.13,5236889.596,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,3600 Business Hwy 151,Marion,IA,52302,Pharmacy,319-377-7216,290,-10193752.08,5166382.765,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,1005 E Hickman,Waukee,IA,50263,Pharmacy,515-216-2762,291,-10447816.14,5103496.61,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,1250 N Lake Ave,Storm Lake,IA,50588,Pharmacy,712-732-1364,292,-10597708.74,5259346.487,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,800 N 2nd St,Cherokee,IA,51012,Pharmacy,712-225-6121,293,-10636732.51,5275636.543,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,1201 12th Ave SW,Le Mars,IA,51031,Pharmacy,712-548-4503,294,-10707089.16,5278250.036,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,905 US Hwy 30 West,Carroll,IA,51401,Pharmacy,712-792-9093,297,-10561617.36,5171553.419,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,106 W Washington St Suite 1,Jefferson,IA,50129,Pharmacy,515-386-4153,299,-10505766.45,5163573.366,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,1422 Flammang,Waterloo,IA,50702,Pharmacy,319-234-7523,300,-10277893.56,5230129.656,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,4064 E 53rd St,Davenport,IA,52807,Pharmacy,563-355-5540,302,-10075948.13,5097522.452,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,632 S Oak River Hills,Iowa Falls,IA,50126,Pharmacy,641-648-4255,303,-10381918.73,5237490.334,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,2003 Chatburn,Harlan,IA,51537,Pharmacy,712-755-2154,304,-10612769.53,5108106.85,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,1426 Broadway,Denison,IA,51442,Pharmacy,712-263-6151,305,-10614648.62,5163492.364,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,1630 E 7th St,Atlantic,IA,50022,Pharmacy,712-243-1278,306,-10574203.92,5072100.386,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,2900 Devils Glen Rd,Bettendorf,IA,52722,Pharmacy,563-332-2983,307,-10072607.97,5094104.8,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,2395 NW Arterial,Dubuque,IA,52002,Pharmacy,563-582-3436,308,-10101248.46,5238683.895,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,108 8th St SW,Altoona,IA,50009,Pharmacy,515-967-3765,309,-10404551.85,5107802.356,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,640 Lincoln Way,Ames,IA,50010,Pharmacy,515-233-5645,310,-10421617.2,5164399.714,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,2510 SW State St,Ankeny,IA,50023,Pharmacy,515-233-5645,311,-10421931.65,5116855.764,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,1111 8th St,Boone,IA,50036,Pharmacy,515-432-1304,312,-10450197.29,5170546.194,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,5050 Edgewood Rd,Cedar Rapids,IA,52411,Pharmacy,319-294-9193,313,-10208151.55,5165556.085,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,3301 Gordon Dr,Sioux City,IA,51105,Pharmacy,712-234-1949,315,-10727045.97,5234440.143,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,8701 Douglas,Urbandale,IA,50322,Pharmacy,515-270-2572,316,-10434704.15,5105768.902,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,2200 W Kimberly Rd,Davenport,IA,52806,Pharmacy,563-391-1543,317,-10086580.92,5095323.357,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,4605 Fleur Dr,Des Moines,IA,50321,Pharmacy,515-285-7133,318,-10424503.84,5092729.495,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,910 N Jefferson,Indianola,IA,50125,Pharmacy,515-962-9444,319,-10414864.7,5066853.557,Drug Drop Off Sites,Drug Drop Off Sites
Hy-Vee Pharmacy,809 W Rock Island St,Knoxville,IA,50138,Pharmacy,641-842-2512,320,-10364852.03,5060447.65,Drug Drop Off Sites,Drug Drop Off Sites
Medicap Pharmacy,400 1st Ave West,Newton,IA,50208,Pharmacy,641-792-3528,321,-10359141.37,5116077.186,Drug Drop Off Sites,Drug Drop Off Sites
Medicap Pharmacy,318 N. Lincoln St,Knoxville,IA,50138,Pharmacy,641-828-7312,322,-10364904.19,5059850.121,Drug Drop Off Sites,Drug Drop Off Sites
Medicap Pharmacy,904 N. John Wayne Dr,Winterset,IA,50273,Pharmacy,515-462-2880,323,-10465538.88,5062998.045,Drug Drop Off Sites,Drug Drop Off Sites
Medicap Pharmacy,2521 Sunset Drive Suite 101,Norwalk,IA,50211,Pharmacy,515-285-2026,324,-10427770.55,5085118.367,Drug Drop Off Sites,Drug Drop Off Sites
Medicap Pharmacy,208 E Euclid,Indianola,IA,50125,Pharmacy,515-961-5303,325,-10414912.3,5066426.892,Drug Drop Off Sites,Drug Drop Off Sites
Mercy Family Pharmacy - Greene,104 E. Traer St. Suite 101,Greene,IA,50636,Pharmacy,641-816-4101,326,-10330660.54,5296125.74,Drug Drop Off Sites,Drug Drop Off Sites
Mercy Family Pharmacy- Clear Lake,1410 6th Ave South Suite 200,Clear Lake,IA,50428,Pharmacy,641-231-8900,327,-10394048.69,5332032.52,Drug Drop Off Sites,Drug Drop Off Sites
Peoples Clinic Pharmacy,905 Franklin St,Waterloo,IA,50703,Pharmacy,319-874-3450,329,-10278109.97,5235937.613,Drug Drop Off Sites,Drug Drop Off Sites
SafeNet Rx,11100 Aurora Ave Bldg 13,Urbandale,IA,50322,Pharmacy,515-327-5405,330,-10438503.64,5106890.763,Drug Drop Off Sites,Drug Drop Off Sites
Sanford Sheldon Med Ctr,118 N. 7th Avenue,Sheldon,IA,51201,Pharmacy,712-324-5041,331,-10669658.28,5340380.844,Drug Drop Off Sites,Drug Drop Off Sites
Siouxland Comm Health Ctr Pharmacy,1021 Nebraska Street,Sioux City,IA,51105,Pharmacy,712-252-2477,332,-10731595.13,5236386.741,Drug Drop Off Sites,Drug Drop Off Sites
Skiff Medical Center,204 N. Fourth Ave. E,Newton,IA,50208,Pharmacy,641-7921273,333,-10358454.61,5116504.649,Drug Drop Off Sites,Drug Drop Off Sites
